"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C3,C4,C6,C7,C8","5","100p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C5","1","1u","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","SMF6V0A","","","","Diode_SMD:D_SMF","https://www.vishay.com/doc?85881"
"F1","1","500ma PPTC","","","","Fuse:Fuse_1206_3216Metric",""
"FB1","1","120ohm","","","","Capacitor_SMD:C_0805_2012Metric",""
"J1,J2","2","Conn_Coaxial","","","","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount",""
"J3","1","USB_C_6P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-17","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J4","1","GH1.25","","","","Connector_JST:JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",""
"L1","1","18n","","","","Inductor_SMD:L_0402_1005Metric",""
"R2","1","3.32k","","","","Resistor_SMD:R_0402_1005Metric",""
"R3,R4","2","5.1k","","","","Resistor_SMD:R_0402_1005Metric",""
"U1","1","QPL9547","","","","Package_DFN_QFN:DFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.6mm","https://www.qorvo.com/products/d/da007268"
"X1","1","B39431B3710U410","","","","Filter:Filter_SAW_Epcos_DCC6C_3x3mm",""
